SymName,TotalAmountIn,TotalAmountOut,TotalTrades,profit,return_percent
WSFS,126785.19,129231.52,64,2446.33,1.929507697
BUSE,121397.86,123739.72,61,2341.86,1.929078486
GFS,76966.48,78447.32,39,1480.84,1.924006399
DLHC,95661.06,97498.06,48,1837,1.920321602
UEIC,170228.22,173490.81,86,3262.59,1.916597612
FSBW,119290.67,121573.69,60,2283.02,1.913829472
ALV,100180.71,102097.13,51,1916.42,1.912963084
IFS,150992.94,153878.63,76,2885.69,1.911142336
HWC,67071.48,68350.3,34,1278.82,1.906652425
OVBC,146929.15,149725.99,74,2796.84,1.903529694
OBT,41640.06,42431.47,21,791.41,1.900597646
FFIV,111364.24,113479.42,58,2115.18,1.899335011
STM,85159.96,86776.34,43,1616.38,1.89805162
EVOJW,25997.77,26489.09,13,491.32,1.889854399
DSKE,65897.99,67140.64,33,1242.65,1.885717607
SAMG,163433.32,166504.73,82,3071.41,1.879304661
DDS,73104.32,74475.68,39,1371.36,1.875894612
TXN,94233.83,96001.27,49,1767.44,1.87558969
FCFS,58798.86,59900.31,30,1101.45,1.873250604
BSRR,117373.61,119565.26,59,2191.65,1.86724256
BCBP,81740.84,83262.49,41,1521.65,1.861554151
BAM,31628.39,32216.41,16,588.02,1.859152489
OLLI,139896.57,142496.3,71,2599.73,1.858322902
FDBC,130557.26,132978.03,66,2420.77,1.854182602
NTZ,87804.99,89429.42,44,1624.43,1.850042919
TOL,72922.99,74269.54,37,1346.55,1.846537011
DCI,96883.8,98665.42,49,1781.62,1.838924567
GEF-B,154058.24,156889.91,78,2831.67,1.838051636
CWK,109517.91,111528.97,55,2011.06,1.836284129
LSXMK,39547.07,40273.16,20,726.09,1.836014653
EHC,106329.4,108279.25,54,1949.85,1.833782566
NVS,54670.95,55673.06,28,1002.11,1.832984428
KOP,85366.25,86929.26,43,1563.01,1.830946071
ALLE,107018.46,108977.5,55,1959.04,1.83056269
RL,74254.57,75613.24,38,1358.67,1.829745967
NFBK,33864.75,34483.18,17,618.43,1.826176186
LND,143811.84,146433.81,72,2621.97,1.823194808
FTDR,142591.13,145187.71,72,2596.58,1.82099686
MCB,70702.78,71989.97,36,1287.19,1.820564906
MU,98743.78,100540.09,50,1796.31,1.819162685
CLBT,71896.51,73201.8,36,1305.29,1.815512325
OMC,109994.73,111989.17,56,1994.44,1.813214142
MCBC,31922.06,32498.56,16,576.5,1.805961144
BSET,105470.38,107371.39,53,1901.01,1.802411255
ROL,101193.88,103012.8,51,1818.92,1.797460479
GMS,47457.45,48309.89,24,852.44,1.796219561
WDFC,98193.7,99955.7,52,1762,1.794412472
BANR,96698.94,98425.42,49,1726.48,1.78541771
CSTR,83711.62,85202.31,42,1490.69,1.780744418
HUN,65554.83,66719.33,33,1164.5,1.776375593
RCLFW,39995.69,40705.16,20,709.47,1.773866134
CZNC,31735.79,32298.58,16,562.79,1.773360613
EA,77666.79,79040.73,40,1373.94,1.76901865
CADE,47612.28,48449.72,24,837.44,1.758873971
AVT,57433.18,58440.72,29,1007.54,1.754282107
TIPT,39882.04,40578.86,20,696.82,1.7472025
MAR,38372,39038.61,20,666.61,1.737230272
ESNT,81061.67,82468.64,41,1406.97,1.735678527
NX,65585.77,66722.11,33,1136.34,1.732601447
UBCP,101625.33,103381.68,51,1756.35,1.728260071
DOOR,80043.35,81425.16,41,1381.81,1.726327047
AMBC,51863.68,52757.75,26,894.07,1.723884614
MRK,63055.41,64140.87,32,1085.46,1.721438335
FULT,53791.18,54716.96,27,925.78,1.721062821
CBU,96444.69,98102.12,49,1657.43,1.718529035
TRV,28644.9,29136.9,15,492,1.717583235
GCO,98653.4,100347.1,50,1693.7,1.71681868
MO,69174.03,70358.57,35,1184.54,1.712405653
NOA,41856.69,42573.05,21,716.36,1.71145879
BOTJ,111658.84,113563.18,56,1904.34,1.705498642
CPB,61323.31,62362.75,31,1039.44,1.695016137
PROCW,35994.04,36604.09,18,610.05,1.694863927
PKE,111609.86,113499.73,56,1889.87,1.693282296
FFWM,117450.32,119437.2,59,1986.88,1.691676958
EGBN,142552.86,144958.63,72,2405.77,1.687633626
JNJ,53715.59,54619.32,28,903.73,1.682435211
YALA,77918.74,79226.37,39,1307.63,1.678197055
MTB,46118.64,46891.25,24,772.61,1.675266226
MBIN,101444.52,103143.8,51,1699.28,1.67508309
HNNA,131691.16,133895.94,66,2204.78,1.674205011
NAPA,75630.31,76889.38,38,1259.07,1.664769059
TD,49143.83,49959.96,25,816.13,1.660696775
NRC,126358.39,128455.93,64,2097.54,1.659992661
DRVN,83485.85,84871.14,42,1385.29,1.659311129
DRI,50375.86,51211.25,26,835.39,1.658314121
UVSP,49642.21,50464.14,25,821.93,1.655707915
IMTX,57874.75,58832.87,29,958.12,1.655506071
VSH,103521.06,105232.56,52,1711.5,1.65328678
EPSN,117855.69,119799.62,59,1943.93,1.649415484
OCUP,75948.03,77199.13,38,1251.1,1.647310668
CAT,74076.28,75295.73,39,1219.45,1.646208476
IBCP,123394.48,125423.71,62,2029.23,1.644506302
SWKS,158340.42,160941.3,82,2600.88,1.642587534
UTMD,117339.22,119249.83,60,1910.61,1.628279104
EDUC,217572.96,221108.64,109,3535.68,1.625054878
TPB,133000.4,135161.56,67,2161.16,1.624927444
SIG,74785.23,75995.86,38,1210.63,1.618808955
AMCR,75815.87,77041.53,38,1225.66,1.616627231
SMP,124690.39,126704.93,63,2014.54,1.615633731
CCZ,33449.84,33989.76,17,539.92,1.614118334
AMSF,90654.54,92113.86,46,1459.32,1.609759423
CCOI,102121.3,103764.98,52,1643.68,1.609536894
IRMD,158872.89,161427.19,80,2554.3,1.607763288
JPM,93171.01,94664.67,48,1493.66,1.603138144
REX,55249.05,56133.56,28,884.51,1.600950605
FFIN,118823.77,120725.65,60,1901.88,1.600588838
CL,49032.04,49815.16,25,783.12,1.597159735
RPRX,71219.73,72356.78,36,1137.05,1.596537926
ATLO,89458.73,90886.25,45,1427.52,1.595730232
USB,98963.39,100539.92,50,1576.53,1.59304365
TRS,47693.21,48449.58,24,756.37,1.585907092
MCO,44576.76,45283.11,24,706.35,1.584570076
VSCO,67309.47,68368.51,34,1059.04,1.573389302
OGN,55544.52,56415.7,28,871.18,1.568435554
CENT,94945.3,96415.05,48,1469.75,1.547996583
NWFL,33804.74,34326.58,17,521.84,1.543688844
KOF,91106.06,92496.33,46,1390.27,1.525990697
