SymName,TotalAmountIn,TotalAmountOut,TotalTrades,profit
CSL,74607.64,76347.67000000001,39,1740.0300000000134
CR,39297.93,40199.76,20,901.8300000000017
LLY,79991.14,83420.81,42,3429.6699999999983
KNSL,110576.97,116141.93000000001,58,5564.960000000006
SNA,101837.76000000001,104033.42000000001,53,2195.6600000000035
EXP,36680.05,37006.200000000004,19,326.15000000000146
TLYS,89799.69,90720.66,45,920.9700000000012
ATLO,89458.73,90886.25,45,1427.520000000004
UL,61159.409999999996,61574.29,31,414.88000000000466
CTAS,76103.63,79747.08000000002,41,3643.4500000000116
WLK,60499.990000000005,62605.92,31,2105.929999999993
