symname
ALGM
APH
SIX
ZIP
AFG
GAMB
CHCI
AMSF
CSTR
SBOW
AN
ASIX
CPG
HON
GAINN
MTCH
UAN
CPE
CPF
HCA
PEO
UNH
CDW
CSL
CR
LLY
KNSL
SNA
EXP
TLYS
ATLO
UL
CTAS
WLK
OXY
ENPH
TEX
NDSN
EVRI
AVGO
C
C-PK
C-PJ
SYNA
VSCO
RMD
PSB-PZ
SSBK
GHLD
FBK
PG
VRSK
HTBI
HMNF
SF
ALB
TSCO
JRSH
TPR
HPK
MNDO
GCMG
PLUS
TT
CUBI
CUBI-PF
CUBI-PE
TX
GPC
RGP
INVA
MHO
WOR
PERI
TPH
KAI
MERC
DRCT
COF-PN
AYI
BOH-PA
SPLP-PA
MCD
RELX
CCS
VMW
PTRS
MRAM
LAKE
BWB
ADSK
CFB
CRUS
DOOR
NYT
SII
IGIC
BPRN
WNC
FHB
AUBN
MTG
AVY
WMS
SID
OXM
EXPE
BGR
AEHR
IPGP
CBNK
MAN
JNJ
NVDA
WRB
FMNB
UNP
LZB
DXC
FDBC
AEIS
AIG
ALLY
FGBI
SNPS
HIMX
PZZA
BCH
NX
AIT
IOSP
WMT
MNTK
UTHR
TMHC
PPC
NOC
GURE
SANM
MBINP
MBINO
MBIN
CSX
CRI
FE
TK
GER
DXLG
TS
CTBI
EXLS
DOW
CALB
BOH
RDY
JKHY
CMG
BRC
COLM
WY
SAIA
CTR
ABG
MMM
BFC
LYB
ITT
UBCP
CATY
CAR
MCBC
CAC
NSIT
CSGS
HI
MYFW
SUZ
SNFCA
UNMA
ZEUS
MRK
TWO-PA
BBW
FUNC
MOMO
EGLE
EMR
HQI
TOWN
WH
BAH
NSSC
DAVA
TPB
SBNYP
SBNY
III
SAL
OTTR
BDC
MDC
SRCE
GSMG
ESNT
SYY
UNVR
VCTR
WNS
AAON
LAMR
ABB
TOL
ASC
NWFL
ACEL
SCX
FELE
MMC
RL
KO
WTBA
OGN
AVNW
SHW
HAL
GOLF
UNB
AWI
AIN
CMCSA
GMS
PIPR
CAL
VALU
PANL
DAC
EMO
COF-PL
COF-PK
COF
ZI
ALLE
IBCP
ABEV
JPM
FFIN
SGU
AFL
WIT
FLT
ALV
UGP
BELFB
BELFA
VFC
NRG
NVMI
ALSN
IEX
ZIONL
AROW
PYPL
NWLI
HUM
TXRH
LKQ
SWKS
CTDD
LW
G
EVC
REGN
BFIN
TGNA
PFHD
BWXT
SPNS
ASX
PLPC
OZK
HALO
SIVB
GS-PJ
GS-PA
GS-PD
GILD
URI
SOI
SMCI
EQBK
AFGC
AFGE
AFGD
AFGB
EA
CAT
BCBP
BJ
ABT
CNHI
VIVO
TGS
RGA
HEI-A
HEI
IMKTA
USLM
XPO
GRMN
OEC
TEL
WF
SUP
CWBC
TTGT
GEF-B
KSS
NSC
TDG
RUSHB
RUSHA
NFLX
ASLE
DOV
WSFS
MT
FCN
FF
SNV-PE
SNV-PD
DIN
PGC
LRN
MU
UBOH
SGH
WEYS
FUTU
RRR
HWC
EFSCP
BABA
PVL
SCI
CARR
FIVE
PAM
HIG
BLMN
WEX
PKG
SITE
BG
FOX
FOXA
LAD
ADM
CARE
AUDC
UONEK
UONE
MRBK
HBAN
ACM
HBANM
SFM
RICK
TSN
TITN
DOX
FONR
TNL
AMPH
LEVI
BLK
FFIV
CLH
KRT
THC
WM
PPBI
DG
BECN
FMC
FUSB
STVN
HSIC
NBIX
NOA
SPWH
DRI
BMY
WDC
CWK
PCAR
GSL
SNBR
BANR
HRMY
CNC
HTH
CSGP
ANF
GIS
BZH
AMTD
CVCY
AGYS
CRWS
CLPS
CMI
OVBC
URBN
CATC
HUN
FN
FIF
TTMI
LU
PHX
DE
WAL
GPN
USB
USB-PP
USB-PQ
USB-PH
BVH
CCNEP
AVT
ROCK
FMAO
BMO
PFIE
K
CPB
RBB
AEPPZ
FSBW
EHC
CRH
HESM
CSWI
IAA
HNNA
FNV
TSEM
SRV
INGR
JBHT
B
FHN
FHN-PF
FHN-PE
LAZY
SAP
EGBN
BDXB
EDUC
TCBK
SHBI
TCS
FCCO
KOF
SFBC
GNRC
PCH
PPG
HLIT
CHMG
CLX
PAG
PFIS
FOR
VIA
OLLI
VIASP
VBFC
GD
MEOH
DK
EDRY
ABBV
ITIC
VIRT
DGX
CADE
BMRC
FUN
NXST
GL
HOLI
CNM
ZM
NTZ
STBA
DSKE
TNK
LEG
CBZ
FDS
LGIH
ZTO
DLTH
STC
FBMS
TRST
CVBF
AMCR
CNOB
ATR
CASY
BR
AMGN
ZGN
CVS
HRL
MET-PF
EFSC
BIIB
BAC-PN
BAC-PM
BAC-PE
BAC-PK
BAC-PB
BAC-PP
BML-PG
BML-PL
BAC-PO
BAC-PL
BML-PJ
BAC
BML-PH
VAC
CI
NISN
GEO
BUSE
FFWM
PNC
JOUT
CCBG
CFG-PE
CFG-PD
VRRM
CFG
TKC
ASAI
VHI
VOD
RCLFW
RCLFU
RCLF
PTSI
PDEX
PLOW
KOP
HURN
ATUS
FLO
LVLU
SMP
SON
BEPC
OSIS
ZION
ZIONO
ZIONP
COFS
PEBO
FITB
APD
MMP
PNBK
DCOMP
BRO
DHR
SXT
MBWM
TRV
CHT
HII
CHDN
ORRF
ABM
FBIZ
KR
ENSG
AAP
PROCW
GCO
CABO
WMK
QDEL
ONON
CAJ
UVSP
ALX
SBGI
LBC
CCZ
CZWI
LDOS
FFIC
VZ
FCFS
AFBI
HELE
CSV
AMAL
CACC
SP
PSA-PI
PSA-PG
PSA-PH
PSA-PL
PSA-PM
ABCB
TIXT
BY
FDX
ARCO
OTTW
ELTK
CHTR
BSRR
BEN
SBS
AAWW
FITBO
CME
GLBS
JD
TTEC
AMBC
ARC
SIFY
CB
TRP
NVS
JWN
ELS
PXS
LMST
BSET
RY
BERY
DVA
FRC
GLOG-PA
AJG
BFST
HOG
CM
REYN
OBT
MBCN
CENT
TRS
BCE
DLTR
WRK
LBRDP
MS
MS-PK
MS-PI
MS-PA
MS-PF
MS-PE
GT
TRI
TANH
EBMT
TD
CHD
ATLCP
IMOS
JATT
JRVR
AIR
ALRS
PAYA
PSHG
GFS
ATVI
SENEB
SSP
WEN
OCFCP
WASH
HONE
SFL
GBCI
HIW
PINC
ISTR
PROV
AUBAP
BKU
LSXMK
LSXMB
TFC-PR
TFC
WFC-PZ
WFC-PA
BIG
CZNC
NFBK
RCI
SJM
CBU
ASB-PE
SBAC
ASB-PF
BRKL
NAPA
CONN
ARKO
ARKOW
TPZ
ESLT
PAHC
INN
DRVN
SKM
CYAN
APTV-PA
CHSCM
CHSCN
FULT
FULTP
BNS
